leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.0436938,385.8082452,249.7139574,385.4509494,297.8451897,321.9298104,297.3510999,252.9636079,224.9153118,185.0784596,199.1259513,259.0712331,213.7665827,146.0216918,366.4945362,189.3160574,384.4558303,301.1859462,336.6995635,342.5503103,296.1491848,168.6584881,295.4806222,146.3391491,292.8497546,112.544788,288.900076,26.20658652
346.0436938,385.8082452,249.7139574,385.4509494,297.8451897,321.9298104,297.3510999,252.9636079,224.9153118,185.0784596,199.1223817,258.9639859,213.6867085,145.868656,366.4945362,189.3160574,384.3802861,301.2230345,336.6225046,342.5881145,296.1491848,168.6584881,295.4797368,146.3423919,292.8497546,112.544788,288.9375351,26.20898022
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3502338,252.9677115,224.9533297,185.0786084,199.2035873,259.1487288,213.6868671,146.0637455,366.5324175,189.3541033,384.3424308,301.2602911,336.5840322,342.587935,296.1863376,168.6620576,295.5178026,146.3425337,292.9648439,112.5482128,289.091164,26.20946423
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3502338,252.9677115,224.9533297,185.0786084,199.2584315,259.6507336,213.6873744,146.6880163,366.53227,189.3919996,384.2668871,301.2973792,336.5064206,342.6306511,296.1863376,168.6620576,295.5558684,146.3426756,292.9648439,112.5482128,289.1295712,26.20958523
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,224.9913477,185.0787571,199.3168305,260.2598468,213.6879452,147.3902923,366.5321225,189.4298959,384.229032,301.3346355,336.4679479,342.6304716,296.2243696,168.6622034,295.5930497,146.3460602,293.0421845,112.5484885,289.2438478,26.21222098
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,224.9898825,185.082316,199.3698955,260.7273416,213.6509199,147.9329969,366.5321225,189.4298959,384.1534887,301.3717234,336.4294753,342.630292,296.2243696,168.6622034,295.5930497,146.3460602,293.0808548,112.5486263,289.2822554,26.21234199
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.0279008,185.0824648,199.4527787,260.9077226,213.6495087,148.1704174,366.5700036,189.4679415,384.115787,301.4045052,336.3524164,342.6680964,296.2615235,168.6657729,295.6311159,146.3462021,293.118543,112.5904163,289.3965344,26.21497779
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.0293656,185.0789059,199.4527787,260.9077226,213.6136105,148.1245692,366.5700036,189.4679415,384.040411,301.4041685,336.3139438,342.6679169,296.2624017,168.6623491,295.632,146.3429593,293.1581955,112.548902,289.3975365,26.17422445
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.0279008,185.0824648,199.4509253,260.7962827,213.5760474,148.004043,366.5701551,189.5022438,383.9648688,301.4412558,336.2754713,342.6677373,296.2624017,168.6623491,295.6700659,146.3431011,293.1968029,112.5876803,289.4743519,26.17446645
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.0279184,185.1203814,199.4474602,260.7662424,213.4635523,147.876541,366.5698561,189.5058376,383.9271694,301.4740366,336.2374404,342.7008086,296.2615235,168.6657729,295.669182,146.3463439,293.1958843,112.5906919,289.5108154,26.21761364
